"Language","English","German","French","Spanish","Russian","Polish","Czech","Italian","Portuguese","Chinesesimp","Japanese","Korean"
"STR_PADLOCKS_SET_PIN","Set Pin","PIN setzen","Définir le code","Establecer PIN","Установить PIN","Ustaw PIN","Nastavit PIN","Imposta PIN","Definir PIN","设置密码","暗証番号を設定","PIN 설정"
"STR_PADLOCKS_INVALID_PIN","Invalid Pin","Ungültige PIN","Code invalide","PIN inválido","Неверный PIN","Nieprawidłowy PIN","Neplatný PIN","PIN non valido","PIN inválido","密码错误","無効な暗証番号","잘못된 PIN"
"STR_PADLOCKS_RATE_LIMITED","Attempts Too Quick","Versuche zu schnell","Tentatives trop rapides","Intentos demasiado rápidos","Слишком быстрые попытки","Próby zbyt szybkie","Příliš rychlé pokusy","Tentativi troppo rapidi","Tentativas muito rápidas","尝试过于频繁","試行が早すぎます","시도가 너무 빠름"
"STR_PADLOCKS_CUT_PADLOCK","Cut Padlock","Vorhängeschloss aufschneiden","Couper le cadenas","Cortar candado","Срезать замок","Przetnij kłódkę","Přestřihnout zámek","Taglia il lucchetto","Cortar cadeado","剪断挂锁","南京錠を切断","자물쇠 절단"
"STR_PADLOCKS_MANAGE_LOCK","Manage Lock","Schloss verwalten","Gérer le verrou","Gestionar cerradura","Управление замком","Zarządzaj zamkiem","Spravovat zámek","Gestisci serratura","Gerir fechadura","管理锁具","ロック管理","잠금장치 관리"
"STR_PADLOCKS_UNLOCK_DOOR","Unlock Padlocked Door","Vorhängeschloss öffnen","Déverrouiller la porte cadenassée","Desbloquear puerta con candado","Открыть дверь с замком","Odblokuj drzwi z kłódką","Odemknout dveře se zámkem","Sblocca porta con lucchetto","Desbloquear porta com cadeado","解锁挂锁门","南京錠付きドアを解錠","자물쇠가 있는 문 열기"
"STR_PADLOCKS_SET_PADLOCK_PIN","Set Padlock Pin","Vorhängeschloss-PIN setzen","Définir le code du cadenas","Establecer PIN del candado","Установить PIN замка","Ustaw PIN kłódki","Nastavit PIN zámku","Imposta PIN lucchetto","Definir PIN do cadeado","设置挂锁密码","南京錠の暗証番号を設定","자물쇠 PIN 설정"
"STR_PADLOCKS_PADLOCK_NAME","Padlock","Vorhängeschloss","Cadenas","Candado","Навесной замок","Kłódka","Visací zámek","Lucchetto","Cadeado","挂锁","南京錠","자물쇠"
"STR_PADLOCKS_PADLOCK_DESC","A simple padlock for securing your belongings.","Ein einfaches Vorhängeschloss zum Sichern Ihrer Sachen.","Un simple cadenas pour sécuriser vos affaires.","Un candado simple para asegurar tus pertenencias.","Простой навесной замок для защиты ваших вещей.","Prosta kłódka do zabezpieczenia Twoich rzeczy.","Jednoduchý visací zámek pro zabezpečení vašich věcí.","Un semplice lucchetto per proteggere i tuoi oggetti.","Um cadeado simples para proteger os seus pertences.","用于保护物品的简单挂锁。","持ち物を守るシンプルな南京錠。","소지품을 보호하는 간단한 자물쇠."
"STR_PADLOCKS_HEAVY_NAME","Heavy Duty Padlock","Hochleistungs-Vorhängeschloss","Cadenas renforcé","Candado resistente","Усиленный замок","Wzmocniona kłódka","Těžký visací zámek","Lucchetto rinforzato","Cadeado reforçado","重型挂锁","頑丈な南京錠","강화 자물쇠"
"STR_PADLOCKS_HEAVY_DESC","A heavy duty padlock for maximum security.","Ein Hochleistungs-Vorhängeschloss für maximale Sicherheit.","Un cadenas renforcé pour une sécurité maximale.","Un candado resistente para máxima seguridad.","Усиленный навесной замок для максимальной безопасности.","Wzmocniona kłódka dla maksymalnego bezpieczeństwa.","Těžký visací zámek pro maximální bezpečnost.","Un lucchetto rinforzato per la massima sicurezza.","Um cadeado reforçado para máxima segurança.","用于最高安全性的重型挂锁。","最高のセキュリティのための頑丈な南京錠。","최고의 보안을 위한 강화 자물쇠."
"STR_PADLOCKS_BOLTCUTTER_NAME","Bolt Cutter","Bolzenschneider","Coupe-boulons","Cortapernos","Болторез","Obcinak do śrub","Pákové kleště","Tronchesi","Corta-parafusos","断线钳","ボルトカッター","볼트 커터"
"STR_PADLOCKS_BOLTCUTTER_DESC","A bolt cutter that can be used to cut padlocks.","Ein Bolzenschneider zum Aufschneiden von Vorhängeschlössern.","Un coupe-boulons qui peut couper les cadenas.","Un cortapernos que puede cortar candados.","Болторез для срезания навесных замков.","Obcinak do śrub do przecinania kłódek.","Pákové kleště na přestřihnutí visacích zámků.","Tronchesi per tagliare i lucchetti.","Um corta-parafusos para cortar cadeados.","可用于剪断挂锁的断线钳。","南京錠を切断できるボルトカッター。","자물쇠를 자를 수 있는 볼트 커터."
"STR_PADLOCKS_REPAIRKIT_NAME","Lock Smith Repair Kit","Schlosser-Reparaturset","Kit de réparation de serrure","Kit de reparación de cerrajería","Набор для ремонта замков","Zestaw naprawczy ślusarski","Opravná sada zámečníka","Kit riparazione fabbro","Kit de reparação de fechaduras","锁匠修理套件","錠前師修理キット","자물쇠 수리 키트"
"STR_PADLOCKS_REPAIRKIT_DESC","A kit that can repair padlocks.","Ein Set zur Reparatur von Vorhängeschlössern.","Un kit pour réparer les cadenas.","Un kit para reparar candados.","Набор для ремонта навесных замков.","Zestaw do naprawy kłódek.","Sada na opravu visacích zámků.","Un kit per riparare i lucchetti.","Um kit para reparar cadeados.","可用于修理挂锁的套件。","南京錠を修理できるキット。","자물쇠를 수리할 수 있는 키트."
